Kepler-1049b 19.32
Kepler-813b 13.41
Kepler-427b 19.0
Kepler-1056b 26.34
Kepler-1165b 12.52
Kepler-1104b 40.14
WASP-14b 30.77
Kepler-1279b 13.12
Kepler-1599b 12.13
Kepler-20b 39.73
HAT-P-27b 25.97
HD116029b 35.0
Kepler-1156b 13.88
Kepler-1512b 14.84
Kepler-787b 39.22
Kepler-528b 11.01
HD219828b 36.5
Kepler-480b 18.82
Kepler-1567b 27.84
Kepler-1390b 20.94
Kepler-1642b 13.62
Kepler-871b 74.16
Kepler-1131b 13.16
Kepler-705b 23.93
HD1237b 59.05
WASP-21b 72.71
Kepler-186c 44.96
HD4308b 10.05
Kepler-651b 27.75
Kepler-80f 34.0
Kepler-1217b 20.08
Kepler-895b 23.94
Kepler-628b 40.92
Kepler-440b 30.57
Kepler-403d 17.0
Kepler-674b 33.78
Kepler-1047c 24.57
Kepler-1247b 19.48
Kepler-1210b 14.55
Kepler-186d 11.41
Kepler-1646b 20.49
HD24040b 87.41
Kepler-967b 28.0
Kepler-1574b 21.05
Kepler-1157b 25.36
Kepler-549b 13.27
Kepler-1510b 54.96
Kepler-1002b 24.39
Kepler-1563b 17.58
Kepler-1611b 26.93
Kepler-1284b 32.87
HD200964b 40.7
Kepler-706b 10.0
HD147018b 91.37
HD218566b 17.08
HD45364b 33.12
Kepler-1177b 11.63
Kepler-1364b 18.46
Kepler-653b 29.53
Kepler-553b 51.3
WASP-140b 38.32
HD141937b 29.05
Kepler-702b 74.08
HD156668b 26.32
MOA-2009-BLG-387Lb 20.0
Kepler-1045b 21.44
Kepler-905b 17.03
Kepler-763b 40.33
Kepler-1376b 31.04
Kepler-32f 14.44
WASP-103b 79.32
Kepler-990c 11.59
WASP-131b 68.37
Kepler-1028b 18.04
GJ649b 12.37
Kepler-1333b 22.85
Kepler-1042b 10.79
HD132406b 80.51
Kepler-1225b 16.6
HD38529c 81.55
Kepler-62b 29.0
Kepler-1006b 31.71
Kepler-791b 40.11
Kepler-619c 13.91
HD126614Ab 28.01
Kepler-875b 31.41
Kepler-1508b 36.11
Kepler-1568b 36.45
Kepler-519b 40.64
Kepler-192d 24.0
Kepler-167b 14.48
HD215152b 27.12
Kepler-772b 32.21
HD177830b 77.9
Kepler-516b 85.59
Kepler-1562b 50.74
HD38283b 12.96
Kepler-922b 17.53
HD217786b 23.36
Kepler-687b 23.7
Kepler-1457b 10.73
Kepler-567b 18.66
Kepler-1453b 27.96
HD32518b 16.56
Kepler-980b 17.51
Kepler-472b 29.34
Kepler-435b 38.8
WASP-18b 13.98
Kepler-839b 17.05
Kepler-1234b 20.65
Kepler-1127b 14.41
Kepler-732c 40.0
HD73267b 65.99
HD147513b 15.07
Kepler-1528b 46.81
Kepler-893b 33.22
Kepler-1387b 28.11
Kepler-1062b 31.04
HD72659b 58.15
BD+144559b 73.47
HD1605b 81.98
Kepler-709b 17.11
HD197037b 26.1
HD70642b 53.59
KELT-2Ab 45.4
Kepler-10b 12.47
Kepler-1365b 35.17
Kepler-966b 43.13
Kepler-1010b 10.79
Kepler-811b 18.83
Kepler-1305b 18.62
Kepler-1322b 14.62
M67YBP1194b 92.07
Kepler-1084b 25.8
Kepler-616b 19.25
Kepler-1065c 12.87
Kepler-1464c 39.0
Kepler-682b 56.01
Kepler-507b 25.0
HD40307c 31.27
HD142b 33.57
Kepler-976b 51.31
WASP-10b 87.52
Kepler-982b 11.94
GJ328b 45.54
WASP-17b 17.42
HAT-P-17b 47.71
Kepler-487c 18.31
HD67087b 75.11
HD102329b 23.55
Kepler-872b 16.41
Kepler-1542d 26.61
HD159868b 29.11
K2-21b 36.77
WASP-75b 78.2
Kepler-1293b 19.05
HD114783b 22.65
GJ581e 24.04
Kepler-1638b 12.11
Kepler-605b 34.8
Kepler-793b 33.88
Kepler-1555b 16.6
epsilonRetb 25.11
GJ674b 13.16
Kepler-511b 48.61
Kepler-1361b 36.7
HD7924c 44.42
HD168443c 50.66
Kepler-1350b 26.97
WASP-70Ab 44.57
Kepler-933b 17.65
Kepler-1406b 26.39
Kepler-1530b 22.71
Kepler-1111b 16.83
WASP-57b 30.53
HAT-P-37b 82.36
Kepler-1166b 27.12
Kepler-458c 10.0
Kepler-1605b 37.85
Kepler-1222b 33.56
Kepler-1635b 44.38
Kepler-615b 13.23
WASP-106b 44.77
HD81040b 27.7
HD208527b 37.91
Kepler-1216b 10.29
HAT-P-32b 43.81
GJ163c 10.32
HD95089b 57.06
XO-3b 59.59
Kepler-1380b 12.3
Kepler-478b 46.4
HD114729b 34.12
Kepler-634b 10.56
Kepler-881b 17.92
Kepler-997b 17.96
Kepler-1503b 14.65
HD100655b 63.02
HD141399c 48.26
WASP-119b 23.71
